role,name,email,bloodGroup,city,phone,lat,lng,isAvailable,status
donor,Priya Chopra,priyachopra0@gmail.com,O+,New Delhi,6826600539,28.698134,77.186342,true,approved
donor,Dev Joshi,devjoshi1@yahoo.com,B+,Ghaziabad,9336696312,28.689842,77.369548,false,approved
donor,Kartik Kohli,kartikkohli2@hotmail.com,O+,New Delhi,8209747451,28.568549,77.074179,false,approved
donor,Ankur Malik,ankurmalik3@hotmail.com,O+,Faridabad,6692749116,28.358636,77.325728,false,approved
donor,Mohit Luthra,mohitluthra4@gmail.com,B+,Gurugram,6349957310,28.523297,77.026025,true,approved
donor,Kartik Patel,kartikpatel5@outlook.com,B+,Gurugram,6754049436,28.476996,77.056828,true,approved
donor,Rahul Chatterjee,rahulchatterjee6@ymail.com,B+,Ghaziabad,6345938494,28.764361,77.501261,true,approved
donor,Meena Wadhwa,meenawadhwa7@ymail.com,O+,Greater Noida,9253407200,28.452976,77.461657,true,approved
donor,Nandini Sharma,nandinisharma8@rediffmail.com,O-,Bahadurgarh,7647099690,28.699352,76.955578,false,approved
donor,Kartik Reddy,kartikreddy9@ymail.com,B+,Noida,9668132202,28.537712,77.410645,false,approved
donor,Harsh Jha,harshjha10@rediffmail.com,O+,Ghaziabad,6415143362,28.686953,77.413431,false,approved
donor,Pulkit Varma,pulkitvarma11@yahoo.com,A-,Faridabad,8786066793,28.401533,77.239782,true,approved
donor,Vidya Chatterjee,vidyachatterjee12@rediffmail.com,O+,Noida,6220117054,28.639365,77.475744,false,approved
donor,Arjun Kaur,arjunkaur13@rediffmail.com,O+,Gurugram,6916690353,28.456541,76.975152,true,pending
donor,Kunal Khanna,kunalkhanna14@rediffmail.com,B+,Sonipat,7865523129,28.962343,77.14903,true,approved
donor,Garima Singh,garimasingh15@gmail.com,O+,Noida,7731832764,28.533033,77.314199,true,approved
donor,Ankit Trehan,ankittrehan16@outlook.com,B+,Noida,9330035022,28.580885,77.444671,false,approved
donor,Prashant Reddy,prashantreddy17@hotmail.com,B+,New Delhi,9480424119,28.634716,77.166756,false,approved
donor,Radha Chawla,radhachawla18@gmail.com,A+,Gurugram,6366992705,28.388318,77.057257,true,approved
donor,Yogesh Kaur,yogeshkaur19@gmail.com,A+,Faridabad,6154318806,28.430429,77.308118,true,approved
donor,Usha Thakur,ushathakur20@yahoo.com,B+,Greater Noida,9162959284,28.432927,77.400539,true,pending
donor,Yash Malhotra,yashmalhotra21@hotmail.com,AB+,Bahadurgarh,9266211829,28.66899,76.90177,true,approved
donor,Arjun Nanda,arjunnanda22@outlook.com,O+,Greater Noida,7161073976,28.592156,77.420028,true,approved
donor,Seema Trehan,seematrehan23@yahoo.com,O+,Faridabad,7721609600,28.418904,77.323876,true,approved
donor,Garima Mishra,garimamishra24@outlook.com,B+,Noida,8524971817,28.519632,77.4291,true,pending
donor,Ashish Agarwal,ashishagarwal25@hotmail.com,AB-,Bahadurgarh,6677280546,28.671315,76.90652,false,approved
donor,Prashant Patel,prashantpatel26@outlook.com,B+,Greater Noida,8756783995,28.596771,77.601775,true,approved
donor,Komal Mehta,komalmehta27@ymail.com,A-,New Delhi,6214929002,28.698483,77.088862,true,approved
donor,Sahil Joshi,sahiljoshi28@ymail.com,A+,Greater Noida,8154544899,28.41846,77.505894,true,approved
donor,Vandana Dubey,vandanadubey29@ymail.com,O+,Greater Noida,9702269164,28.401934,77.418811,false,pending
donor,Kavita Bansal,kavitabansal30@outlook.com,B+,Noida,6430989881,28.554698,77.486618,false,approved
donor,Sanjay Joshi,sanjayjoshi31@ymail.com,B+,Noida,9766430218,28.612422,77.485153,true,approved
donor,Lokesh Wadhwa,lokeshwadhwa32@hotmail.com,O+,Faridabad,9961393416,28.433981,77.347012,true,approved
